Data,Run,Indices
Pollen,0,6+248+206+104+74+280+263+269+24+202+44
Pollen,1,196+59+183+4+63+200+171+229+154+193+10
Pollen,2,175+218+176+115+244+148+76+199+88+34+51
Pollen,3,256+72+288+106+66+43+0+293+168+278+119
Pollen,4,102+288+34+170+50+143+53+36+110+176+94
Pollen,5,283+29+3+148+227+87+119+276+253+240+22
Pollen,6,216+15+39+74+277+220+168+233+62+163+250
Pollen,7,99+27+87+18+200+90+21+288+213+71+151
Pollen,8,62+135+176+143+246+194+52+175+146+56+30
Pollen,9,117+94+297+14+119+221+209+157+230+250+10
Pollen,10,185+269+30+37+201+79+78+171+261+239+71
Pollen,11,215+10+230+130+228+93+289+26+271+34+149
Pollen,12,225+202+250+141+126+41+81+246+196+241+177
Pollen,13,269+273+110+36+32+197+199+285+235+194+279
Pollen,14,243+150+7+288+212+160+92+250+50+31+33
Pollen,15,274+63+88+72+91+6+281+182+230+15+158
Pollen,16,230+63+6+227+160+88+96+261+172+202+71
Pollen,17,166+220+24+241+135+60+183+112+175+127+226
Pollen,18,22+53+34+148+44+212+123+163+89+128+1
Pollen,19,62+296+5+215+43+250+110+146+93+164+206
Darmanis,0,141+202+290+190+230+239+45+380
Darmanis,1,319+44+194+114+247+277+52+59
Darmanis,2,182+326+212+180+13+78+253+408
Darmanis,3,409+201+40+405+385+83+153+326
Darmanis,4,13+228+334+124+215+24+105+118
Darmanis,5,168+116+297+351+120+403+50+229
Darmanis,6,358+365+24+320+118+238+90+331
Darmanis,7,99+252+13+118+295+19+259+54
Darmanis,8,1+162+231+279+285+104+32+329
Darmanis,9,19+266+24+378+413+321+113+268
Darmanis,10,348+179+239+416+289+124+385+301
Darmanis,11,96+229+329+80+120+383+211+265
Darmanis,12,393+208+223+218+413+194+59+281
Darmanis,13,273+11+219+107+214+253+218+287
Darmanis,14,287+280+342+192+320+232+33+289
Darmanis,15,192+301+217+289+173+251+264+355
Darmanis,16,96+171+283+248+144+125+181+357
Darmanis,17,318+91+69+108+75+234+174+126
Darmanis,18,33+237+268+204+290+309+413+385
Darmanis,19,412+393+71+331+103+364+256+374
Usoskin,0,259+336+475+533
Usoskin,1,388+506+533+256
Usoskin,2,581+186+244+526
Usoskin,3,455+272+560+526
Usoskin,4,473+526+529+56
Usoskin,5,187+172+526+28
Usoskin,6,370+526+35+533
Usoskin,7,159+408+526+476
Usoskin,8,132+63+198+189
Usoskin,9,422+489+446+526
Usoskin,10,561+363+526+533
Usoskin,11,290+526+478+579
Usoskin,12,166+526+553+276
Usoskin,13,146+177+228+137
Usoskin,14,366+526+71+222
Usoskin,15,462+526+250+87
Usoskin,16,139+480+244+533
Usoskin,17,322+5+464+533
Usoskin,18,345+617+526+412
Usoskin,19,134+533+526+244
Mouse_pan,0,1498+0+931+843+1358+1328+1714+979+309+1841+982+486+489
Mouse_pan,1,891+1357+629+41+1812+1218+1801+1734+1333+120+868+1564+1115
Mouse_pan,2,199+50+1316+1342+1858+1307+31+671+1274+758+612+924+981
Mouse_pan,3,1398+1266+1028+110+89+843+373+1237+130+370+1385+264+1511
Mouse_pan,4,224+894+1331+748+1354+935+434+818+398+121+1777+1303+1524
Mouse_pan,5,412+1252+36+1714+413+712+1237+1091+1822+926+1179+1829+117
Mouse_pan,6,381+952+1552+1050+931+1386+641+129+1295+692+1542+929+1630
Mouse_pan,7,162+602+994+22+391+1179+1222+1265+422+444+858+538+1015
Mouse_pan,8,1003+589+1408+789+41+1140+1270+568+968+380+19+786+1373
Mouse_pan,9,260+870+1771+1143+1775+1708+1255+69+1853+240+858+1519+633
Mouse_pan,10,897+1532+1501+1449+148+687+470+1028+171+1831+1270+1368+1638
Mouse_pan,11,1246+155+1816+1313+1534+994+1812+70+1348+1655+1736+861+1656
Mouse_pan,12,37+1288+1399+1790+1713+1083+1202+41+179+49+804+1483+1029
Mouse_pan,13,461+1836+875+931+335+415+1087+676+966+1632+1012+1152+1102
Mouse_pan,14,711+1350+1566+1493+109+965+408+1768+854+1072+1880+528+1201
Mouse_pan,15,681+158+1645+901+1179+679+69+1557+1738+945+413+283+937
Mouse_pan,16,1742+77+1552+734+1295+1036+826+998+338+485+573+1586+1564
Mouse_pan,17,537+1318+184+1713+984+1695+1308+1717+1797+145+1483+31+1189
Mouse_pan,18,1322+149+1233+1632+1176+1237+1066+500+1044+1519+1061+904+1054
Mouse_pan,19,1598+254+1585+1606+1678+1400+1682+1271+1630+1686+1713+972+1332
Muraro,0,2008+957+251+1371+688+878+799+2062+879
Muraro,1,663+1724+1974+434+1743+292+1427+107+578
Muraro,2,1821+630+1100+680+1143+83+1710+981+180
Muraro,3,1772+1712+864+49+807+175+1104+141+1214
Muraro,4,794+757+450+783+1386+1925+610+510+542
Muraro,5,1737+1504+1291+983+610+1661+360+1529+1242
Muraro,6,19+1149+434+1475+513+1232+920+401+1382
Muraro,7,145+1301+300+474+1674+433+890+614+921
Muraro,8,532+1829+1386+218+174+198+1901+434+775
Muraro,9,64+1394+821+894+460+411+490+714+1951
Muraro,10,141+90+658+405+1748+2018+1133+1441+221
Muraro,11,918+1313+2048+288+969+175+538+1397+1947
Muraro,12,31+1342+1748+1616+1398+608+2098+221+1814
Muraro,13,634+1301+223+2096+344+911+168+1983+303
Muraro,14,37+1445+1752+1700+1966+623+753+594+1369
Muraro,15,1121+1796+1741+314+1767+1610+1395+251+426
Muraro,16,1198+1862+864+645+1803+2039+292+1555+872
Muraro,17,415+1585+2098+1646+19+41+1739+495+1562
Muraro,18,141+1490+224+156+1959+662+1286+1575+1524
Muraro,19,1702+894+2039+1146+813+26+253+1632+955
QSLimb,0,706+689+229+588+54+609
QSLimb,1,556+276+534+871+33+498
QSLimb,2,646+850+651+718+882+415
QSLimb,3,472+84+680+1080+803+11
QSLimb,4,426+651+953+94+837+23
QSLimb,5,958+592+589+804+751+50
QSLimb,6,924+432+542+628+1033+856
QSLimb,7,571+762+687+592+401+379
QSLimb,8,803+271+534+5+811+1050
QSLimb,9,705+480+544+421+568+982
QSLimb,10,731+150+659+588+245+968
QSLimb,11,353+542+318+3+224+973
QSLimb,12,707+212+1018+592+734+584
QSLimb,13,823+535+463+38+4+1017
QSLimb,14,404+980+750+181+1013+588
QSLimb,15,120+1062+592+11+447+768
QSLimb,16,701+236+680+905+196+68
QSLimb,17,1012+237+588+953+715+333
QSLimb,18,104+1059+588+98+245+845
QSLimb,19,574+839+542+550+6+11
QSTrachea,0,1206+1256+1184+981
QSTrachea,1,1010+897+1305+1280
QSTrachea,2,815+908+1130+222
QSTrachea,3,1063+167+360+742
QSTrachea,4,665+774+916+1106
QSTrachea,5,1293+994+205+340
QSTrachea,6,973+525+669+546
QSTrachea,7,1175+379+60+610
QSTrachea,8,1092+1045+1337+857
QSTrachea,9,597+546+783+1314
QSTrachea,10,546+277+1173+386
QSTrachea,11,1082+994+880+1060
QSTrachea,12,599+1276+1099+349
QSTrachea,13,869+433+546+483
QSTrachea,14,1106+604+908+1238
QSTrachea,15,1048+832+857+1266
QSTrachea,16,52+545+787+443
QSTrachea,17,142+546+1024+628
QSTrachea,18,885+95+546+832
QSTrachea,19,747+178+593+1034
QSLung,0,151+809+468+857+958+535+1358+1171+1078+558+25
QSLung,1,1320+1537+937+279+229+1096+663+129+558+1209+801
QSLung,2,1585+1448+1118+938+42+224+577+1515+171+1182+970
QSLung,3,90+948+206+924+0+63+1249+837+328+1221+1439
QSLung,4,1015+1507+817+73+1662+193+502+415+563+1359+819
QSLung,5,1040+845+972+937+300+475+1065+896+162+1428+892
QSLung,6,288+544+597+604+206+1425+651+1621+400+1001+737
QSLung,7,1215+1464+898+872+830+18+1144+1209+506+915+1470
QSLung,8,599+188+1401+1118+805+52+235+1638+1187+1494+1618
QSLung,9,788+1204+222+609+127+1351+740+1146+57+966+1038
QSLung,10,836+1182+1186+674+1460+171+1494+175+348+63+798
QSLung,11,36+1112+940+1464+851+1338+740+127+1067+952+815
QSLung,12,430+287+141+1099+806+60+1049+1540+1277+1224+867
QSLung,13,853+407+953+188+1041+385+1196+800+1077+423+896
QSLung,14,1040+737+544+343+1020+776+261+463+762+803+1237
QSLung,15,1044+349+749+729+529+629+20+1270+748+1612+1086
QSLung,16,222+534+1027+1314+798+38+839+667+1125+216+1064
QSLung,17,412+478+780+168+46+806+1515+579+1320+1+519
QSLung,18,832+1330+26+374+62+147+994+1067+432+224+867
QSLung,19,1442+895+1526+1160+792+836+1102+610+1494+821+60
QSDiaphragm,0,374+491+741+31+453
QSDiaphragm,1,810+783+656+296+357
QSDiaphragm,2,245+446+296+823+852
QSDiaphragm,3,147+247+196+483+807
QSDiaphragm,4,672+242+360+277+296
QSDiaphragm,5,149+323+643+296+748
QSDiaphragm,6,730+859+351+61+31
QSDiaphragm,7,73+444+443+643+639
QSDiaphragm,8,692+323+369+451+237
QSDiaphragm,9,276+370+504+31+811
QSDiaphragm,10,5+319+108+622+296
QSDiaphragm,11,213+614+161+577+31
QSDiaphragm,12,108+38+335+565+31
QSDiaphragm,13,98+388+699+324+574
QSDiaphragm,14,791+780+31+737+341
QSDiaphragm,15,783+305+296+788+9
QSDiaphragm,16,283+411+859+384+642
QSDiaphragm,17,620+428+397+692+296
QSDiaphragm,18,378+639+31+762+464
QSDiaphragm,19,289+696+311+428+666
Q10XSpleen,0,6526+4147+3101+7345+1498
Q10XSpleen,1,2273+5463+4515+8474+4066
Q10XSpleen,2,1286+6908+5660+3140+3066
Q10XSpleen,3,2867+4570+3922+8616+5508
Q10XSpleen,4,5108+133+5083+5525+2092
Q10XSpleen,5,917+7398+6074+7190+4584
Q10XSpleen,6,8380+8125+9418+9372+564
Q10XSpleen,7,2966+8706+543+3233+4165
Q10XSpleen,8,2761+7847+4773+3445+6785
Q10XSpleen,9,8297+1059+4750+4207+9020
Q10XSpleen,10,4344+7099+4246+8625+5428
Q10XSpleen,11,6324+5630+7602+8461+2179
Q10XSpleen,12,2524+4820+8399+2247+6241
