Data,Run,Indices
Pollen,0,259+113+81+12+177+77+248+43+30+161+187
Pollen,1,235+138+191+52+50+116+285+94+161+200+121
Pollen,2,139+95+42+226+2+12+192+199+14+213+243
Pollen,3,80+104+185+236+266+1+170+19+111+217+59
Pollen,4,60+101+9+73+179+7+192+49+181+115+32
Pollen,5,72+213+275+195+52+17+189+241+277+125+293
Pollen,6,263+48+94+200+14+72+297+197+65+141+205
Pollen,7,282+216+127+40+201+131+207+298+159+78+233
Pollen,8,270+288+37+69+145+30+181+179+128+251+267
Pollen,9,266+217+139+225+234+11+183+122+297+173+113
Pollen,10,24+251+256+134+63+269+180+171+55+127+143
Pollen,11,129+166+101+123+98+58+149+243+285+121+74
Pollen,12,119+21+257+17+175+54+193+133+180+214+39
Pollen,13,90+19+152+98+82+22+174+197+169+268+242
Pollen,14,137+157+53+118+132+255+187+87+297+179+219
Pollen,15,126+276+222+43+96+213+108+118+191+190+149
Pollen,16,276+154+291+59+51+169+79+36+40+30+0
Pollen,17,254+247+77+88+11+129+34+31+202+48+30
Pollen,18,181+292+198+170+245+93+165+208+204+180+207
Pollen,19,126+297+217+247+158+70+278+63+128+151+17
Darmanis,0,334+23+210+256+234+86+341+29
Darmanis,1,304+62+10+175+115+249+198+89
Darmanis,2,390+148+83+343+293+382+397+203
Darmanis,3,156+382+343+412+21+198+56+211
Darmanis,4,139+366+194+321+169+173+232+207
Darmanis,5,28+46+43+184+86+376+414+342
Darmanis,6,413+182+289+265+84+78+291+83
Darmanis,7,66+366+417+43+338+197+372+141
Darmanis,8,275+408+13+54+332+208+264+318
Darmanis,9,405+296+94+90+57+176+407+99
Darmanis,10,208+231+138+107+291+79+322+413
Darmanis,11,57+36+130+76+63+191+250+24
Darmanis,12,281+305+110+100+232+206+136+377
Darmanis,13,139+152+146+399+244+273+171+29
Darmanis,14,68+106+218+257+231+28+119+406
Darmanis,15,277+202+358+246+312+324+265+154
Darmanis,16,309+239+358+375+252+105+195+131
Darmanis,17,288+294+318+44+174+254+31+364
Darmanis,18,415+221+369+340+206+101+387+407
Darmanis,19,373+53+179+6+117+142+189+395
Usoskin,0,119+362+145+579
Usoskin,1,421+283+439+42
Usoskin,2,197+128+115+407
Usoskin,3,322+73+541+588
Usoskin,4,209+119+233+467
Usoskin,5,382+596+282+499
Usoskin,6,540+393+218+372
Usoskin,7,124+73+322+370
Usoskin,8,386+15+219+312
Usoskin,9,94+579+409+392
Usoskin,10,529+30+594+486
Usoskin,11,405+545+188+467
Usoskin,12,585+93+621+438
Usoskin,13,192+511+163+464
Usoskin,14,246+154+534+427
Usoskin,15,305+372+308+254
Usoskin,16,514+235+162+179
Usoskin,17,409+297+13+525
Usoskin,18,541+142+230+545
